선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
안영명,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
유원상,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이대은,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이창재,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
조현우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
홍창기,LG,0.328,32,138,121,1.14,8,1.15,4.17,0.080,106.4,0.307,2021
이상호,LG,0.308,2,20,15,1.33,1,0.10,3.46,0.031,6.0,0.228,2021
한석현,LG,0.286,3,3,6,0.50,0,0.43,4.31,0.190,4.3,0.292,2021
김현수,LG,0.285,41,156,173,0.90,19,1.83,3.79,0.150,88.7,0.278,2021
채은성,LG,0.276,36,89,118,0.75,7,0.48,3.88,0.176,64.6,0.275,2021
오지환,LG,0.254,29,142,127,1.12,8,0.66,3.86,0.101,58.2,0.24,2021
서건창,LG,0.253,32,154,155,0.99,4,0.88,3.93,0.090,65.6,0.243,2021
유강남,LG,0.252,27,120,104,1.15,11,0.33,3.90,0.123,46.9,0.236,2021
이재원,LG,0.247,11,30,39,0.77,0,0.29,4.18,0.136,19.8,0.238,2021
라모스,LG,0.243,16,36,61,0.59,2,0.42,3.99,0.178,25.2,0.248,2021
이영빈,LG,0.243,11,33,29,1.14,4,0.29,3.99,0.101,17.7,0.232,2021
정주현,LG,0.238,11,56,50,1.12,1,0.75,3.79,0.099,20.3,0.231,2021
문보경,LG,0.230,20,80,72,1.11,1,0.72,4.22,0.133,37.5,0.242,2021
문성주,LG,0.228,2,26,21,1.24,1,0.47,3.79,0.051,7.5,0.206,2021
김민성,LG,0.222,30,91,121,0.75,1,0.58,4.19,0.128,42.7,0.228,2021
이형종,LG,0.218,21,46,76,0.61,3,0.52,4.12,0.172,30.9,0.247,2021
이성우,LG,0.212,0,13,5,2.60,0,0.13,3.90,0.000,1.3,0.159,2021
이천웅,LG,0.199,9,71,52,1.37,1,1.09,3.89,0.072,13.9,0.205,2021
보어,LG,0.170,5,26,30,0.87,3,0.37,4.12,0.110,9.2,0.189,2021
김주성,LG,0.167,1,1,1,1.00,0,0.33,4.29,0.500,1.3,0.295,2021
김용의,LG,0.148,2,11,8,1.38,0,1.80,3.63,0.074,4.6,0.213,2021
안익훈,LG,0.143,1,5,5,1.00,0,0.00,4.13,0.071,0.4,0.166,2021
김재성,LG,0.138,4,11,33,0.33,0,0.38,3.58,0.108,3.2,0.155,2021
구본혁,LG,0.132,2,12,16,0.75,0,0.43,4.58,0.053,2.1,0.138,2021
신민재,LG,0.130,0,8,6,1.33,0,0.67,4.11,0.000,1.1,0.149,2021
이주형,LG,0.125,0,2,5,0.40,0,0.14,3.95,0.000,0.4,0.131,2021
손호영,LG,0.100,0,2,5,0.40,0,0.50,3.58,0.000,0.4,0.138,2021
고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김지용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김진수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김호은,LG,0.000,0,4,1,4.00,0,0.00,4.56,0.000,-0.8,0.0,2021
류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이상규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이상영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
장준원,LG,0.000,0,1,2,0.50,0,-,1.00,0.000,-0.3,0.0,2021
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
최민창,LG,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0,2021
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박지훈,두산,0.333,1,3,2,1.50,0,0.33,3.57,0.083,2.4,0.297,2021
박건우,두산,0.325,39,111,132,0.84,3,0.69,3.70,0.116,78.9,0.29,2021
페르난데스,두산,0.315,39,170,171,0.99,4,1.86,3.48,0.128,87.0,0.287,2021
조수행,두산,0.286,4,21,13,1.62,0,0.62,4.08,0.083,16.9,0.28,2021
최용제,두산,0.279,3,27,28,0.96,1,0.52,3.89,0.029,13.1,0.237,2021
허경민,두산,0.278,30,175,131,1.34,6,1.03,3.76,0.088,51.8,0.243,2021
김재환,두산,0.274,52,109,114,0.96,15,0.64,4.01,0.227,91.3,0.297,2021
양석환,두산,0.273,50,79,147,0.54,12,0.31,3.98,0.217,80.1,0.274,2021
박계범,두산,0.267,18,87,84,1.04,7,0.65,4.12,0.090,45.3,0.255,2021
정수빈,두산,0.259,26,112,72,1.56,2,0.58,3.82,0.115,37.4,0.24,2021
김인태,두산,0.259,24,92,100,0.92,3,0.93,3.88,0.119,51.8,0.262,2021
안재석,두산,0.255,12,49,51,0.96,2,0.30,3.94,0.090,23.4,0.229,2021
전민재,두산,0.250,0,0,2,0.00,0,0.00,3.20,0.000,0.6,0.153,2021
강승호,두산,0.239,25,76,78,0.97,2,0.28,3.79,0.136,34.6,0.229,2021
안권수,두산,0.238,1,20,9,2.22,0,1.00,3.47,0.048,4.3,0.202,2021
장승현,두산,0.232,12,51,36,1.42,3,0.38,3.81,0.090,21.0,0.23,2021
박세혁,두산,0.219,12,77,68,1.13,1,0.51,4.02,0.051,19.9,0.201,2021
권민석,두산,0.214,2,3,1,3.00,0,0.14,4.20,0.143,1.2,0.209,2021
김재호,두산,0.209,9,56,80,0.70,3,0.85,3.91,0.052,18.6,0.203,2021
신성현,두산,0.182,0,2,1,2.00,0,0.50,4.60,0.000,1.5,0.226,2021
오재원,두산,0.167,3,19,24,0.79,2,0.33,3.90,0.042,2.8,0.155,2021
국해성,두산,0.125,0,3,2,1.50,0,0.00,4.38,0.000,-0.1,0.088,2021
권휘,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김민혁,두산,0.000,0,3,1,3.00,0,1.00,4.25,0.000,0.1,0.113,2021
남호,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
문원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박성재,두산,0.000,0,0,0,-,0,0.00,8.00,0.000,-0.1,0.0,2021
박소준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
백동훈,두산,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.3,0.0,2021
서예일,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0,2021
오명진,두산,0.000,0,2,0,-,0,0.00,4.33,0.000,-0.3,0.0,2021
윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이승진,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
황경태,두산,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0,2021
김성표,삼성,0.333,0,3,2,1.50,0,0.71,4.21,0.000,3.6,0.298,2021
구자욱,삼성,0.306,62,122,169,0.72,9,0.49,3.87,0.214,103.8,0.292,2021
박해민,삼성,0.291,28,116,131,0.89,5,0.84,4.20,0.086,74.3,0.267,2021
강민호,삼성,0.291,40,129,113,1.14,12,0.85,3.60,0.187,66.6,0.282,2021
피렐라,삼성,0.286,56,143,166,0.86,10,0.64,3.76,0.210,96.3,0.285,2021
오재일,삼성,0.285,45,99,102,0.97,9,0.55,3.82,0.227,79.9,0.293,2021
김헌곤,삼성,0.281,14,111,76,1.46,2,0.74,4.08,0.076,41.7,0.249,2021
최영진,삼성,0.281,4,19,10,1.90,1,0.42,4.03,0.140,8.3,0.262,2021
김지찬,삼성,0.274,7,112,75,1.49,6,0.87,3.65,0.030,36.7,0.225,2021
김민수,삼성,0.263,8,24,21,1.14,1,0.46,3.67,0.184,11.2,0.255,2021
강한울,삼성,0.260,5,64,46,1.39,0,0.50,4.13,0.022,23.7,0.224,2021
김현준,삼성,0.250,0,1,2,0.50,0,-,3.25,0.000,-0.1,0.175,2021
김동엽,삼성,0.238,13,44,59,0.75,4,0.24,3.67,0.114,20.3,0.216,2021
김상수,삼성,0.235,21,147,134,1.10,6,1.02,3.90,0.065,43.1,0.219,2021
송준석,삼성,0.235,4,14,12,1.17,0,0.23,3.84,0.157,5.7,0.229,2021
이원석,삼성,0.231,28,77,158,0.49,7,0.75,3.91,0.115,53.5,0.24,2021
김호재,삼성,0.227,2,25,20,1.25,1,0.64,4.04,0.027,7.8,0.208,2021
오선진,삼성,0.214,0,14,11,1.27,0,0.38,4.02,0.000,2.1,0.181,2021
이학주,삼성,0.206,12,34,28,1.21,1,0.23,4.16,0.129,13.8,0.208,2021
박승규,삼성,0.182,4,24,21,1.14,0,1.00,3.73,0.152,6.3,0.218,2021
김성윤,삼성,0.167,0,7,4,1.75,0,0.00,3.32,0.000,0.2,0.113,2021
김도환,삼성,0.146,2,7,8,0.88,0,0.10,4.07,0.049,1.2,0.149,2021
권정웅,삼성,0.000,0,1,0,-,0,-,6.00,0.000,-0.1,0.0,2021
김윤수,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김응민,삼성,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0,2021
노건우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
문용익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
백승민,삼성,0.000,0,1,0,-,0,0.00,4.67,0.000,-0.3,0.0,2021
안주형,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이재익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이태훈,삼성,0.000,0,0,1,0.00,0,0.00,3.50,0.000,-0.2,0.0,2021
이정후,키움,0.360,55,131,138,0.95,7,1.68,3.94,0.162,100.8,0.328,2021
김혜성,키움,0.304,26,165,137,1.20,7,0.67,4.01,0.063,88.0,0.259,2021
이용규,키움,0.296,25,152,131,1.16,5,1.54,4.24,0.076,76.0,0.27,2021
송우현,키움,0.296,22,76,52,1.46,3,0.57,3.71,0.120,37.3,0.271,2021
김은성,키움,0.278,3,5,2,2.50,0,0.00,3.44,0.167,1.9,0.236,2021
이지영,키움,0.275,6,102,53,1.92,4,1.12,3.50,0.030,22.6,0.224,2021
프레이타스,키움,0.259,12,40,35,1.14,3,0.24,3.70,0.115,13.1,0.227,2021
박동원,키움,0.249,43,105,94,1.12,11,0.46,4.06,0.211,65.6,0.269,2021
송성문,키움,0.249,17,58,85,0.68,4,0.60,3.76,0.122,30.5,0.237,2021
크레익,키움,0.248,18,51,74,0.69,3,0.47,3.67,0.135,27.0,0.24,2021
김웅빈,키움,0.241,20,54,51,1.06,2,0.47,4.16,0.142,35.0,0.257,2021
변상권,키움,0.239,9,55,29,1.90,1,0.23,3.76,0.082,14.5,0.204,2021
박병호,키움,0.227,43,77,105,0.73,9,0.33,4.05,0.203,60.2,0.253,2021
김수환,키움,0.220,4,7,9,0.78,0,0.12,3.91,0.195,4.1,0.216,2021
김재현,키움,0.217,7,14,10,1.40,0,0.25,3.57,0.152,3.6,0.212,2021
김병휘,키움,0.200,0,1,5,0.20,0,0.50,3.27,0.000,0.6,0.173,2021
박준태,키움,0.196,3,13,8,1.63,0,0.63,4.05,0.065,6.0,0.228,2021
전병우,키움,0.187,14,33,59,0.56,1,0.40,4.10,0.121,26.1,0.221,2021
김주형,키움,0.180,3,12,14,0.86,1,0.27,3.70,0.060,7.4,0.235,2021
신준우,키움,0.167,3,5,10,0.50,0,0.19,3.84,0.071,2.9,0.186,2021
이명기,키움,0.167,0,1,1,1.00,0,0.67,4.38,0.000,0.7,0.211,2021
예진원,키움,0.158,8,26,43,0.60,1,0.43,3.89,0.096,7.1,0.175,2021
허정협,키움,0.156,0,11,17,0.65,0,0.70,3.83,0.000,2.0,0.16,2021
문찬종,키움,0.143,0,4,4,1.00,0,0.75,4.41,0.000,0.5,0.168,2021
김휘집,키움,0.129,2,16,23,0.70,0,0.57,4.21,0.057,5.8,0.172,2021
임지열,키움,0.120,0,5,7,0.71,0,0.40,3.77,0.000,0.5,0.15,2021
박주홍,키움,0.106,2,12,9,1.33,0,0.43,4.54,0.043,1.5,0.15,2021
이주형,키움,0.100,1,2,0,-,0,0.14,4.27,0.300,0.9,0.182,2021
김동욱,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김정인,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박관진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박정음,키움,0.000,0,6,6,1.00,0,0.67,3.61,0.000,-0.2,0.075,2021
양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
오주원,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
이승호,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
장재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
