선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
이천웅,LG,1.000,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,2.000,0,1.0,1.0,2023
홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6,88,3,22,83,6,0.412,0.444,0.856,58,0.361,0.5,2023
안익훈,LG,0.318,11,23,22,1,7,1,0,0,8,2,0,0,0,0,1,2,0,0.364,0.348,0.712,2,0.333,0.0,2023
오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7,53,2,3,75,11,0.517,0.376,0.893,43,0.299,0.5,2023
문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4,58,2,2,83,5,0.448,0.377,0.825,39,0.281,0.25,2023
문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4,67,0,8,34,10,0.372,0.392,0.764,31,0.297,0.375,2023
김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8,58,4,1,53,10,0.383,0.364,0.747,43,0.348,0.25,2023
박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1,45,0,3,74,7,0.359,0.348,0.707,33,0.313,0.5,2023
신민재,LG,0.277,122,331,282,47,78,5,2,0,87,28,17,2,29,0,1,34,5,0.309,0.344,0.653,19,0.329,1.0,2023
정주현,LG,0.273,89,101,88,17,24,2,0,1,29,12,2,1,9,0,0,16,1,0.330,0.337,0.667,5,0.304,0.0,2023
오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4,64,0,8,82,4,0.396,0.371,0.767,25,0.298,0.333,2023
박동원,LG,0.249,130,481,409,54,102,17,1,20,181,75,8,8,49,3,7,90,7,0.443,0.334,0.777,27,0.212,0.333,2023
김민성,LG,0.249,112,316,273,34,68,11,0,8,103,41,9,2,25,0,7,58,7,0.377,0.326,0.703,17,0.253,0.167,2023
이재원,LG,0.214,57,129,112,15,24,5,0,4,41,18,0,3,12,2,2,40,1,0.366,0.295,0.661,4,0.242,0.133,2023
손호영,LG,0.205,27,45,44,8,9,0,0,1,12,6,0,0,1,0,0,12,5,0.273,0.222,0.495,1,0.417,0.0,2023
김주성,LG,0.200,11,7,5,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0.200,0.429,0.629,0,0.0,0.0,2023
서건창,LG,0.200,44,126,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,0.282,0.260,0.542,5,0.241,0.1,2023
허도환,LG,0.141,47,81,64,8,9,3,0,2,18,10,7,1,3,0,6,20,3,0.281,0.243,0.524,1,0.333,0.0,2023
김기연,LG,0.118,28,40,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,0.118,0.231,0.349,0,0.167,0.0,2023
김범석,LG,0.111,10,29,27,3,3,1,0,1,7,4,0,1,1,0,0,5,1,0.259,0.138,0.397,0,0.125,0.0,2023
최승민,LG,0.071,38,15,14,10,1,0,0,0,1,1,0,0,1,0,0,4,1,0.071,0.133,0.204,0,0.2,0.0,2023
송찬의,LG,0.056,19,22,18,2,1,1,0,0,2,1,0,0,4,0,0,6,0,0.111,0.227,0.338,0,0.5,0.0,2023
고우석,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
김대현,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
박명근,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
송대현,LG,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,2023
오석주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
이정용,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
전준호,LG,0.000,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2023
최동환,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2023
김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5,36,0,3,48,4,0.385,0.356,0.741,33,0.284,0.286,2023
황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1,45,1,1,64,15,0.413,0.366,0.779,35,0.314,0.0,2023
정준영,KT,0.292,34,55,48,6,14,2,0,0,16,6,4,0,3,0,0,11,1,0.333,0.333,0.666,1,0.214,0.333,2023
안치영,KT,0.290,76,136,124,20,36,3,1,0,41,9,3,1,6,0,2,35,1,0.331,0.331,0.662,10,0.276,0.333,2023
