선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박찬호,유격수,1.330,2022,KIA,130,128,1103 1/3,22,0,215,338,66,0.962,0,0,0,-
박동원,포수,1.141,2022,KIA,114,98,865,5,2,703,71,8,0.994,5,40,22,35.5
김도영,유격수,0.841,2022,KIA,28,16,160 2/3,2,0,29,47,7,0.974,0,0,0,-
한승택,포수,0.699,2022,KIA,64,34,299 2/3,0,1,243,25,0,1.000,2,17,7,29.2
김도영,3루수,0.409,2022,KIA,69,44,407,11,0,47,83,8,0.922,0,0,0,-
소크라테스,중견수,0.141,2022,KIA,123,122,1009 2/3,5,0,302,1,0,0.984,0,0,0,-
류지혁,1루수,0.118,2022,KIA,36,14,158,2,0,155,5,11,0.988,0,0,0,-
김규성,유격수,0.117,2022,KIA,5,0,10,0,0,5,5,1,1.000,0,0,0,-
최형우,좌익수,0.113,2022,KIA,19,17,133,0,0,34,1,0,1.000,0,0,0,-
박찬호,2루수,0.087,2022,KIA,3,1,12,0,0,1,6,0,1.000,0,0,0,-
최정용,3루수,0.076,2022,KIA,2,1,7,0,0,0,3,0,1.000,0,0,0,-
김선빈,2루수,0.071,2022,KIA,137,134,1134 1/3,10,0,246,334,80,0.983,0,0,0,-
김호령,중견수,0.066,2022,KIA,48,19,209,3,0,66,2,0,0.958,0,0,0,-
박정우,중견수,0.059,2022,KIA,9,0,18,0,0,4,0,0,1.000,0,0,0,-
김석환,좌익수,0.058,2022,KIA,29,20,173,0,0,33,0,0,1.000,0,0,0,-
류지혁,2루수,0.044,2022,KIA,2,0,7,0,0,2,8,0,1.000,0,0,0,-
신범수,포수,0.040,2022,KIA,2,1,8,0,0,7,0,0,1.000,0,1,0,0.0
박민,유격수,0.017,2022,KIA,1,0,3,0,0,0,1,0,1.000,0,0,0,-
임석진,1루수,-0.011,2022,KIA,5,1,14 2/3,0,0,9,1,0,1.000,0,0,0,-
임석진,3루수,-0.013,2022,KIA,6,3,25,0,0,2,4,0,1.000,0,0,0,-
이창진,우익수,-0.032,2022,KIA,7,1,20,0,0,6,0,0,1.000,0,0,0,-
김석환,우익수,-0.034,2022,KIA,1,0,1,0,0,0,0,0,-,0,0,0,-
권혁경,포수,-0.039,2022,KIA,2,0,4,0,0,6,0,0,1.000,0,0,0,-
김규성,2루수,-0.043,2022,KIA,24,7,77 2/3,1,0,21,13,2,0.971,0,0,0,-
김선우,포수,-0.046,2022,KIA,1,0,3,0,0,2,0,0,1.000,0,0,0,-
김규성,1루수,-0.073,2022,KIA,19,0,35,0,0,30,2,5,1.000,0,0,0,-
김석환,1루수,-0.088,2022,KIA,9,2,30 2/3,0,0,27,0,4,1.000,0,0,0,-
이우성,중견수,-0.101,2022,KIA,3,0,9,0,0,1,0,0,1.000,0,0,0,-
소크라테스,좌익수,-0.105,2022,KIA,24,0,41,0,0,14,1,1,1.000,0,0,0,-
최정용,2루수,-0.107,2022,KIA,17,2,42 2/3,1,0,4,13,0,0.944,0,0,0,-
김규성,3루수,-0.169,2022,KIA,17,3,50,1,0,2,12,0,0.933,0,0,0,-
소크라테스,우익수,-0.181,2022,KIA,8,3,34,0,0,5,0,0,1.000,0,0,0,-
이창진,중견수,-0.189,2022,KIA,8,3,34,0,0,10,0,0,1.000,0,0,0,-
나성범,우익수,-0.196,2022,KIA,132,132,1131 2/3,3,0,223,4,1,0.987,0,0,0,-
이우성,좌익수,-0.198,2022,KIA,37,19,180,2,0,39,0,0,0.951,0,0,0,-
고종욱,좌익수,-0.211,2022,KIA,8,3,28,0,0,3,0,0,1.000,0,0,0,-
이창진,좌익수,-0.274,2022,KIA,89,85,722 2/3,0,0,165,3,0,1.000,0,0,0,-
이우성,우익수,-0.374,2022,KIA,29,8,91,0,0,19,1,0,1.000,0,0,0,-
류지혁,3루수,-0.786,2022,KIA,103,93,785 2/3,11,0,62,139,14,0.948,0,0,0,-
황대인,1루수,-1.194,2022,KIA,129,127,1041 1/3,7,0,955,68,82,0.993,0,0,0,-
나지완,좌익수,,2022,KIA,1,0,1,0,0,0,0,0,-,0,0,0,-
류승현,우익수,,2022,KIA,1,0,2,0,0,1,0,0,1.000,0,0,0,-
김선빈,유격수,,2022,KIA,2,0,2 2/3,0,0,0,1,0,1.000,0,0,0,-
박정우,좌익수,,2022,KIA,1,0,1,0,0,1,0,0,1.000,0,0,0,-
박민,3루수,,2022,KIA,4,0,5,0,0,0,0,0,-,0,0,0,-
