선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
최정민,KIA,0.333,0,1,2,0.50,0,0.43,4.00,0.000,1.9,0.297
김선빈,KIA,0.307,37,181,132,1.37,7,1.44,3.82,0.094,71.3,0.269
최원준,KIA,0.295,31,185,165,1.12,5,0.90,3.82,0.076,86.9,0.26
류지혁,KIA,0.278,10,80,74,1.08,2,0.91,3.63,0.051,38.7,0.256
김태진,KIA,0.276,18,120,96,1.25,0,0.36,3.56,0.066,40.1,0.227
김석환,KIA,0.263,1,4,3,1.33,0,0.00,3.45,0.158,2.5,0.24
이정훈,KIA,0.248,8,32,32,1.00,1,0.58,4.15,0.093,16.6,0.246
박찬호,KIA,0.246,21,147,98,1.50,7,0.74,4.10,0.067,45.6,0.227
황대인,KIA,0.238,24,69,89,0.78,2,0.29,3.67,0.181,34.3,0.232
터커,KIA,0.237,34,121,172,0.70,4,0.92,3.76,0.113,56.8,0.238
오정환,KIA,0.235,1,2,2,1.00,0,0.11,4.61,0.059,1.3,0.199
유민상,KIA,0.233,3,15,13,1.15,1,0.44,4.16,0.083,8.5,0.249
최형우,KIA,0.233,28,110,111,0.99,11,1.00,4.00,0.142,53.0,0.253
권혁경,KIA,0.222,0,4,4,1.00,0,0.00,3.39,0.000,0.0,0.155
김민식,KIA,0.220,11,57,92,0.62,4,0.84,4.20,0.068,29.8,0.223
한승택,KIA,0.217,10,50,48,1.04,1,0.46,3.96,0.079,20.1,0.218
이창진,KIA,0.209,12,80,66,1.21,6,0.67,4.03,0.076,24.0,0.21
김호령,KIA,0.208,6,29,30,0.97,3,0.36,4.06,0.108,15.3,0.224
이우성,KIA,0.200,5,26,26,1.00,0,0.76,3.94,0.059,7.5,0.201
이진영,KIA,0.200,5,6,4,1.50,0,0.14,4.45,0.250,6.4,0.256
최정용,KIA,0.192,1,9,18,0.50,0,0.56,3.94,0.019,4.9,0.191
박정우,KIA,0.188,1,21,10,2.10,2,1.25,4.02,0.021,3.9,0.21
황윤호,KIA,0.176,0,4,7,0.57,0,0.33,3.05,0.000,0.5,0.162
박민,KIA,0.171,1,6,13,0.46,0,0.20,4.34,0.029,0.9,0.157
나주환,KIA,0.161,0,4,11,0.36,0,0.00,3.94,0.000,-0.3,0.11
나지완,KIA,0.160,1,26,14,1.86,1,0.48,4.27,0.012,6.4,0.189
강경학,KIA,0.152,0,6,9,0.67,0,0.38,4.28,0.000,2.1,0.165
김규성,KIA,0.139,1,10,4,2.50,0,0.29,4.32,0.028,1.2,0.152
오선우,KIA,0.067,0,4,1,4.00,0,0.11,3.56,0.000,-0.5,0.073
장현식,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
강백호,KT,0.347,57,131,129,1.02,11,1.21,4.20,0.174,117.6,0.333
박승욱,KT,0.333,1,3,0,-,0,0.00,3.00,0.167,1.0,0.275
김민혁,KT,0.320,9,49,42,1.17,1,0.77,3.82,0.076,26.8,0.277
유한준,KT,0.309,21,77,88,0.88,5,1.29,3.86,0.110,48.0,0.289
황재균,KT,0.291,28,88,145,0.61,5,0.50,4.02,0.110,65.1,0.262
김병희,KT,0.288,8,9,13,0.69,1,0.87,4.00,0.346,15.5,0.364
천성호,KT,0.286,1,14,7,2.00,1,0.33,3.43,0.024,5.3,0.24
허도환,KT,0.276,8,28,20,1.40,3,0.29,3.77,0.114,13.3,0.25
알몬테,KT,0.271,16,60,56,1.07,1,0.44,3.92,0.133,29.3,0.252
심우준,KT,0.268,28,92,147,0.63,7,0.49,4.12,0.103,53.4,0.238
배정대,KT,0.259,36,121,130,0.93,7,0.49,4.02,0.120,73.6,0.253
권동진,KT,0.254,6,14,6,2.33,0,0.60,4.07,0.119,11.5,0.279
강민국,KT,0.244,2,20,8,2.50,1,0.50,3.94,0.044,3.6,0.204
오윤석,KT,0.244,15,34,43,0.79,0,0.57,3.95,0.140,23.9,0.257
호잉,KT,0.239,23,67,83,0.81,8,0.50,3.78,0.178,37.5,0.245
조용호,KT,0.236,15,145,102,1.42,5,0.87,4.30,0.037,48.6,0.225
신본기,KT,0.236,9,53,36,1.47,1,0.49,3.91,0.063,17.6,0.225
장성우,KT,0.231,27,113,117,0.97,10,0.87,3.95,0.143,49.6,0.245
김태훈,KT,0.230,6,25,23,1.09,1,0.11,3.51,0.103,7.0,0.198
송민섭,KT,0.229,0,8,7,1.14,0,0.55,4.09,0.000,8.7,0.23
문상철,KT,0.219,8,17,25,0.68,1,0.24,3.73,0.125,10.1,0.217
김건형,KT,0.212,1,13,7,1.86,0,1.00,3.72,0.030,3.5,0.21
김준태,KT,0.195,9,27,38,0.71,0,0.45,4.25,0.133,13.9,0.215
박경수,KT,0.192,19,41,76,0.54,4,0.45,4.08,0.155,25.3,0.222
홍현빈,KT,0.182,0,1,0,-,0,0.00,4.75,0.000,-0.2,0.127
이홍구,KT,0.164,1,9,10,0.90,0,0.07,3.83,0.055,0.6,0.14
고명성,KT,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0
고영표,KT,-,0,0,0,-,0,-,6.00,-,0.3,0.45
김민수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
박시영,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
안영명,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
유원상,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이대은,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이창재,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
조현우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
홍창기,LG,0.328,32,138,121,1.14,8,1.15,4.17,0.080,106.4,0.307
이상호,LG,0.308,2,20,15,1.33,1,0.10,3.46,0.031,6.0,0.228
한석현,LG,0.286,3,3,6,0.50,0,0.43,4.31,0.190,4.3,0.292
김현수,LG,0.285,41,156,173,0.90,19,1.83,3.79,0.150,88.7,0.278
채은성,LG,0.276,36,89,118,0.75,7,0.48,3.88,0.176,64.6,0.275
오지환,LG,0.254,29,142,127,1.12,8,0.66,3.86,0.101,58.2,0.24
서건창,LG,0.253,32,154,155,0.99,4,0.88,3.93,0.090,65.6,0.243
유강남,LG,0.252,27,120,104,1.15,11,0.33,3.90,0.123,46.9,0.236
이재원,LG,0.247,11,30,39,0.77,0,0.29,4.18,0.136,19.8,0.238
라모스,LG,0.243,16,36,61,0.59,2,0.42,3.99,0.178,25.2,0.248
이영빈,LG,0.243,11,33,29,1.14,4,0.29,3.99,0.101,17.7,0.232
정주현,LG,0.238,11,56,50,1.12,1,0.75,3.79,0.099,20.3,0.231
문보경,LG,0.230,20,80,72,1.11,1,0.72,4.22,0.133,37.5,0.242
문성주,LG,0.228,2,26,21,1.24,1,0.47,3.79,0.051,7.5,0.206
김민성,LG,0.222,30,91,121,0.75,1,0.58,4.19,0.128,42.7,0.228
이형종,LG,0.218,21,46,76,0.61,3,0.52,4.12,0.172,30.9,0.247
이성우,LG,0.212,0,13,5,2.60,0,0.13,3.90,0.000,1.3,0.159
이천웅,LG,0.199,9,71,52,1.37,1,1.09,3.89,0.072,13.9,0.205
보어,LG,0.170,5,26,30,0.87,3,0.37,4.12,0.110,9.2,0.189
김주성,LG,0.167,1,1,1,1.00,0,0.33,4.29,0.500,1.3,0.295
김용의,LG,0.148,2,11,8,1.38,0,1.80,3.63,0.074,4.6,0.213
안익훈,LG,0.143,1,5,5,1.00,0,0.00,4.13,0.071,0.4,0.166
김재성,LG,0.138,4,11,33,0.33,0,0.38,3.58,0.108,3.2,0.155
구본혁,LG,0.132,2,12,16,0.75,0,0.43,4.58,0.053,2.1,0.138
신민재,LG,0.130,0,8,6,1.33,0,0.67,4.11,0.000,1.1,0.149
이주형,LG,0.125,0,2,5,0.40,0,0.14,3.95,0.000,0.4,0.131
손호영,LG,0.100,0,2,5,0.40,0,0.50,3.58,0.000,0.4,0.138
고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
김지용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
김진수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
김호은,LG,0.000,0,4,1,4.00,0,0.00,4.56,0.000,-0.8,0.0
류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이상규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이상영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
장준원,LG,0.000,0,1,2,0.50,0,-,1.00,0.000,-0.3,0.0
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최민창,LG,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
양의지,NC,0.325,61,84,190,0.44,17,1.15,3.74,0.256,110.1,0.332
윤형준,NC,0.297,5,16,20,0.80,1,0.18,3.56,0.203,11.3,0.269
이명기,NC,0.293,14,62,46,1.35,1,1.37,4.21,0.094,32.6,0.281
노진혁,NC,0.288,30,57,91,0.63,5,0.47,4.09,0.139,54.0,0.275
최정원,NC,0.283,6,71,41,1.73,0,0.45,3.82,0.038,25.2,0.238
나성범,NC,0.281,63,119,140,0.85,9,0.25,3.74,0.228,95.5,0.278
알테어,NC,0.272,53,92,115,0.80,10,0.37,3.97,0.242,93.4,0.29
권희동,NC,0.263,11,34,43,0.79,3,1.21,4.47,0.203,28.2,0.299
박민우,NC,0.261,9,51,61,0.84,1,0.96,3.86,0.078,25.5,0.247
박석민,NC,0.257,18,47,39,1.21,4,0.63,4.09,0.222,29.1,0.282
전민수,NC,0.255,6,18,32,0.56,2,0.48,3.99,0.122,12.1,0.243
최보성,NC,0.250,0,1,3,0.33,0,0.00,2.71,0.000,0.7,0.201
강진성,NC,0.249,27,114,125,0.91,5,0.53,3.74,0.101,47.4,0.236
김주원,NC,0.241,13,30,41,0.73,2,0.30,3.76,0.145,20.9,0.239
이원재,NC,0.231,2,23,17,1.35,0,0.09,3.68,0.031,4.3,0.178
최승민,NC,0.226,1,11,6,1.83,0,0.14,3.03,0.032,1.7,0.177
정진기,NC,0.223,14,63,48,1.31,2,0.26,3.51,0.135,18.3,0.209
정현,NC,0.222,6,30,37,0.81,1,0.71,3.76,0.060,11.8,0.23
김태군,NC,0.220,14,71,83,0.86,2,0.70,3.57,0.121,27.6,0.225
박대온,NC,0.212,1,21,27,0.78,0,0.19,3.43,0.012,5.3,0.165
정범모,NC,0.211,2,5,6,0.83,0,0.50,3.43,0.211,2.1,0.248
박준영,NC,0.209,17,52,74,0.70,0,0.29,4.09,0.128,28.3,0.22
김기환,NC,0.207,12,39,27,1.44,0,0.18,3.73,0.143,13.4,0.2
이재율,NC,0.200,2,6,3,2.00,0,0.00,3.00,0.133,1.0,0.216
도태훈,NC,0.182,2,23,17,1.35,0,0.43,3.93,0.061,4.7,0.191
김준완,NC,0.167,1,4,6,0.67,0,-,3.50,0.167,1.3,0.212
지석훈,NC,0.147,1,7,11,0.64,0,0.50,3.67,0.029,3.1,0.18
김건태,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
김수윤,NC,0.000,0,2,3,0.67,0,0.00,2.14,0.000,-0.6,0.0
