선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
김호령,KIA,1.0,1,1,0,0,0,0,0,0,0,0,1번
고종욱,KIA,0.5,2,1,0,0,0,0,1,0,0,0,1번
최정용,KIA,0.333,3,1,0,0,0,0,0,0,1,0,1번
류지혁,KIA,0.321,168,54,8,0,1,20,31,2,33,2,1번
박찬호,KIA,0.285,340,97,16,0,3,29,39,1,45,4,1번
이창진,KIA,0.263,19,5,2,0,0,3,2,0,3,1,1번
김규성,KIA,0.167,6,1,0,0,0,0,0,0,3,0,1번
김도영,KIA,0.108,37,4,0,0,0,1,2,0,12,0,1번
소크라테스,KIA,0.056,18,1,0,1,0,3,2,0,5,0,1번
김석환,KIA,0.0,2,0,0,0,0,0,0,0,2,0,1번
최형우,KIA,0.0,1,0,0,0,0,0,0,0,0,0,1번
최정용,KIA,0.333,3,1,0,0,0,0,0,0,1,0,2번
이창진,KIA,0.314,191,60,9,0,2,26,23,1,32,5,2번
김선빈,KIA,0.299,221,66,11,0,1,19,35,4,20,8,2번
고종욱,KIA,0.291,55,16,3,0,2,8,1,0,12,2,2번
김호령,KIA,0.286,7,2,0,0,1,4,1,0,2,1,2번
김도영,KIA,0.281,32,9,0,1,2,5,5,1,6,0,2번
류지혁,KIA,0.25,8,2,0,0,0,0,2,0,1,1,2번
박찬호,KIA,0.25,20,5,0,0,0,2,1,0,2,1,2번
이우성,KIA,0.25,8,2,0,0,0,2,0,0,3,0,2번
소크라테스,KIA,0.233,30,7,0,0,1,3,1,0,7,0,2번
김규성,KIA,0.0,2,0,0,0,0,0,0,0,1,0,2번
김석환,KIA,0.0,2,0,0,0,0,0,0,0,0,0,2번
박민,KIA,0.0,1,0,0,0,0,0,0,0,0,0,2번
임석진,KIA,0.0,2,0,0,0,0,0,0,0,0,0,2번
최형우,KIA,0.0,1,0,0,0,0,0,0,0,1,0,2번
나성범,KIA,0.313,463,145,27,1,21,83,55,15,109,7,3번
소크라테스,KIA,0.292,24,7,1,0,0,2,2,0,3,0,3번
이우성,KIA,0.286,7,2,0,0,0,1,0,0,1,0,3번
이창진,KIA,0.273,11,3,1,0,0,0,2,0,1,0,3번
김석환,KIA,0.25,4,1,0,0,1,3,0,0,3,0,3번
김선빈,KIA,0.179,56,10,2,0,0,5,7,0,9,1,3번
고종욱,KIA,0.0,2,0,0,0,0,0,1,0,1,0,3번
김선우,KIA,0.0,1,0,0,0,0,0,0,0,0,0,3번
김호령,KIA,0.0,2,0,0,0,0,0,0,0,2,0,3번
류지혁,KIA,0.0,1,0,0,0,0,0,0,0,0,0,3번
최정용,KIA,0.0,1,0,0,0,0,0,0,0,0,0,3번
최형우,KIA,0.0,5,0,0,0,0,0,0,0,1,0,3번
김호령,KIA,1.0,1,1,1,0,0,0,0,0,0,0,4번
이우성,KIA,1.0,2,2,1,0,0,1,1,0,0,0,4번
김도영,KIA,0.444,9,4,0,1,0,1,0,0,3,0,4번
나성범,KIA,0.35,100,35,12,1,0,14,9,2,28,0,4번
박동원,KIA,0.259,58,15,5,0,3,6,5,3,13,0,4번
고종욱,KIA,0.25,4,1,1,0,0,2,0,0,0,0,4번
최형우,KIA,0.246,114,28,6,0,3,19,22,0,25,2,4번
황대인,KIA,0.241,187,45,11,0,6,35,13,2,34,6,4번
소크라테스,KIA,0.235,98,23,4,0,3,10,6,0,15,1,4번
김규성,KIA,0.0,2,0,0,0,0,0,0,0,1,0,4번
김석환,KIA,0.0,2,0,0,0,0,0,1,0,2,0,4번
류지혁,KIA,0.0,2,0,0,0,0,0,0,0,0,0,4번
박민,KIA,0.0,1,0,0,0,0,0,0,0,0,0,4번
이정훈,KIA,0.0,1,0,0,0,0,0,0,0,0,0,4번
한승택,KIA,0.0,3,0,0,0,0,0,0,0,1,0,4번
이우성,KIA,1.0,2,2,1,0,0,0,0,0,0,0,5번
이창진,KIA,1.0,1,1,0,0,0,0,0,0,0,0,5번
소크라테스,KIA,0.339,230,78,11,4,10,39,19,1,34,5,5번
최형우,KIA,0.282,177,50,12,1,4,29,25,1,29,3,5번
황대인,KIA,0.259,108,28,6,0,1,18,14,3,19,8,5번
고종욱,KIA,0.25,4,1,1,0,0,0,0,0,1,0,5번
김선빈,KIA,0.211,19,4,0,0,0,4,1,0,0,0,5번
박동원,KIA,0.2,15,3,1,0,0,0,2,0,6,0,5번
김규성,KIA,0.0,2,0,0,0,0,0,0,0,0,0,5번
김호령,KIA,0.0,4,0,0,0,0,0,0,0,2,0,5번
류지혁,KIA,0.0,1,0,0,0,0,0,0,0,0,0,5번
최정용,KIA,0.0,1,0,0,0,0,0,0,0,0,0,5번
김도영,KIA,0.500,2,1,0,0,0,0,0,0,0,0,6번
소크라테스,KIA,0.326,89,29,10,1,1,12,2,1,12,4,6번
김선빈,KIA,0.282,163,46,8,0,1,23,16,1,15,5,6번
황대인,KIA,0.280,50,14,3,0,1,7,3,1,11,1,6번
최형우,KIA,0.267,150,40,9,0,7,20,26,0,35,4,6번
류지혁,KIA,0.250,4,1,0,1,0,4,0,2,1,0,6번
박동원,KIA,0.236,55,13,3,0,2,10,11,0,13,0,6번
이창진,KIA,0.222,9,2,1,0,0,2,2,0,2,0,6번
이우성,KIA,0.211,19,4,0,0,0,1,2,0,4,0,6번
김석환,KIA,0.105,19,2,1,0,0,0,1,0,4,0,6번
고종욱,KIA,0.083,12,1,0,0,0,0,1,0,2,0,6번
김규성,KIA,0.000,1,0,0,0,0,0,0,0,0,0,6번
김호령,KIA,-,0,0,0,0,0,0,0,0,0,0,6번
류승현,KIA,0.000,1,0,0,0,0,0,0,0,0,0,6번
최정용,KIA,0.000,3,0,0,0,0,0,0,0,1,0,6번
한승택,KIA,0.000,1,0,0,0,0,0,0,0,0,0,6번
김규성,KIA,0.6,5,3,0,1,0,1,0,0,0,0,7번
소크라테스,KIA,0.6,25,15,3,1,2,8,2,0,5,1,7번
고종욱,KIA,0.4,5,2,0,0,0,1,2,0,1,0,7번
박찬호,KIA,0.4,10,4,0,0,0,1,0,0,2,0,7번
김선빈,KIA,0.395,38,15,2,0,0,6,6,1,2,0,7번
김호령,KIA,0.333,6,2,0,0,0,0,0,0,1,0,7번
류지혁,KIA,0.333,54,18,3,0,0,9,3,1,8,0,7번
황대인,KIA,0.273,128,35,7,0,6,31,6,1,27,5,7번
이창진,KIA,0.273,88,24,1,0,3,14,12,1,17,1,7번
이우성,KIA,0.25,28,7,2,0,0,3,3,0,4,2,7번
박동원,KIA,0.215,79,17,5,0,4,10,3,1,20,3,7번
한승택,KIA,0.167,6,1,0,0,0,0,1,0,2,0,7번
김석환,KIA,0.163,43,7,1,0,1,3,6,0,15,1,7번
김도영,KIA,0.0,12,0,0,0,0,0,0,0,3,0,7번
나지완,KIA,0.0,1,0,0,0,0,0,0,0,0,0,7번
이정훈,KIA,0.0,3,0,0,0,0,0,2,0,1,0,7번
임석진,KIA,0.0,2,0,0,0,0,0,1,0,2,0,7번
최정용,KIA,0.0,2,0,0,0,0,0,0,0,0,0,7번
김선빈,KIA,1.0,1,1,0,0,0,0,0,0,0,0,8번
권혁경,KIA,0.5,2,1,0,0,0,1,0,0,0,0,8번
김선우,KIA,0.5,2,1,0,0,0,0,0,1,0,0,8번
박찬호,KIA,0.5,8,4,0,0,0,1,1,0,0,0,8번
고종욱,KIA,0.455,11,5,0,0,0,0,1,0,1,0,8번
이우성,KIA,0.348,46,16,3,0,1,4,4,1,8,1,8번
박정우,KIA,0.333,3,1,0,0,0,2,0,0,1,0,8번
이창진,KIA,0.333,27,9,0,0,2,3,0,0,8,0,8번
김호령,KIA,0.316,19,6,0,0,0,1,0,0,5,1,8번
박동원,KIA,0.251,175,44,6,0,9,31,24,5,41,6,8번
김석환,KIA,0.25,16,4,0,0,1,1,2,2,4,0,8번
최형우,KIA,0.25,4,1,0,0,0,1,0,0,1,0,8번
류지혁,KIA,0.241,29,7,2,0,1,2,5,1,9,0,8번
한승택,KIA,0.188,85,16,2,0,1,12,8,3,25,2,8번
김도영,KIA,0.143,7,1,1,0,0,1,1,0,3,0,8번
임석진,KIA,0.143,7,1,0,0,1,1,1,0,4,1,8번
김규성,KIA,0.0,2,0,0,0,0,0,0,0,1,0,8번
류승현,KIA,0.0,2,0,0,0,0,0,0,0,1,0,8번
신범수,KIA,0.0,3,0,0,0,0,0,0,0,1,0,8번
