선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,130,50,42,8,84.0,7,0
김도영,KIA,103,16,13,3,81.3,7,0
김선빈,KIA,140,15,13,2,86.7,10,0
소크라테스,KIA,127,19,12,7,63.2,5,1
류지혁,KIA,127,12,8,4,66.7,4,0
나성범,KIA,144,7,6,1,85.7,5,0
이창진,KIA,111,8,3,5,37.5,4,0
김호령,KIA,54,3,2,1,66.7,1,0
고종욱,KIA,62,1,1,0,100,1,0
박동원,KIA,123,1,1,0,100,5,1
이우성,KIA,80,4,1,3,25.0,1,1
최형우,KIA,132,1,1,0,100,3,1
권혁경,KIA,2,0,0,0,-,0,0
김규성,KIA,70,0,0,0,-,1,0
김석환,KIA,51,0,0,0,-,0,0
김선우,KIA,3,0,0,0,-,0,0
김재열,KIA,1,0,0,0,-,0,0
나지완,KIA,2,0,0,0,-,0,0
류승현,KIA,3,0,0,0,-,0,0
박민,KIA,6,0,0,0,-,0,0
박정우,KIA,16,0,0,0,-,1,1
신범수,KIA,2,0,0,0,-,0,0
이정훈,KIA,6,0,0,0,-,0,0
임석진,KIA,10,0,0,0,-,0,0
최정용,KIA,30,0,0,0,-,0,0
한승택,KIA,66,0,0,0,-,0,0
황대인,KIA,129,0,0,0,-,3,0
심우준,KT,132,25,23,2,92.0,3,0
배정대,KT,144,23,19,4,82.6,9,2
김민혁,KT,132,15,6,9,40.0,3,1
황재균,KT,141,9,6,3,66.7,3,1
박병호,KT,124,8,5,3,62.5,3,0
알포드,KT,80,6,5,1,83.3,6,1
조용호,KT,131,9,5,4,55.6,4,0
권동진,KT,48,4,4,0,100,1,0
홍현빈,KT,61,4,4,0,100,0,0
김준태,KT,98,2,2,0,100,2,0
라모스,KT,18,2,2,0,100,1,0
오윤석,KT,112,3,2,1,66.7,1,0
이시원,KT,31,2,2,0,100,0,0
문상철,KT,28,1,1,0,100,0,0
양승혁,KT,11,2,1,1,50.0,0,1
장성우,KT,117,1,1,0,100,0,0
장준원,KT,35,1,1,0,100,0,0
강백호,KT,62,0,0,0,-,1,0
고명성,KT,1,0,0,0,-,0,0
김병희,KT,41,3,0,3,0.0,1,0
김재윤,KT,1,0,0,0,-,0,0
김태훈,KT,7,0,0,0,-,0,0
문상인,KT,12,0,0,0,-,0,0
문상준,KT,2,0,0,0,-,0,0
박경수,KT,100,0,0,0,-,0,0
박영현,KT,4,0,0,0,-,0,0
배제성,KT,1,0,0,0,-,0,0
송민섭,KT,119,2,0,2,0.0,0,0
신본기,KT,74,1,0,1,0.0,0,0
심재민,KT,2,0,0,0,-,0,0
유준규,KT,7,0,0,0,-,0,0
이상우,KT,1,0,0,0,-,0,0
이정현,KT,1,0,0,0,-,0,0
전진영,KT,4,0,0,0,-,0,0
조대현,KT,6,0,0,0,-,0,0
주권,KT,1,0,0,0,-,0,0
지명성,KT,1,0,0,0,-,0,0
박해민,LG,144,30,24,6,80.0,8,1
오지환,LG,142,27,20,7,74.1,5,2
홍창기,LG,118,17,13,4,76.5,1,0
문성주,LG,106,15,9,6,60.0,6,1
서건창,LG,77,11,8,3,72.7,2,0
문보경,LG,126,7,7,0,100,5,2
채은성,LG,126,13,6,7,46.2,3,0
가르시아,LG,39,5,4,1,80.0,2,2
이재원,LG,85,4,3,1,75.0,4,1
김현수,LG,141,3,2,1,66.7,2,0
송찬의,LG,33,3,2,1,66.7,2,0
신민재,LG,14,4,2,2,50.0,0,0
루이즈,LG,27,1,1,0,100,0,0
이상호,LG,60,3,1,2,33.3,0,0
고우석,LG,4,0,0,0,-,0,0
김기연,LG,12,0,0,0,-,0,0
김민성,LG,92,1,0,1,0.0,0,0
김진성,LG,2,0,0,0,-,0,0
김호은,LG,2,0,0,0,-,0,0
박용택,LG,1,0,0,0,-,0,0
박재욱,LG,1,0,0,0,-,0,0
배재준,LG,1,0,0,0,-,0,0
백승현,LG,1,0,0,0,-,0,0
손호영,LG,36,3,0,3,0.0,1,0
송승기,LG,1,0,0,0,-,0,0
송은범,LG,2,0,0,0,-,0,0
안익훈,LG,14,0,0,0,-,0,0
유강남,LG,139,0,0,0,-,5,1
이영빈,LG,60,0,0,0,-,0,0
이천웅,LG,19,0,0,0,-,0,0
이형종,LG,26,0,0,0,-,0,0
정우영,LG,1,0,0,0,-,0,0
진해수,LG,1,0,0,0,-,0,0
채원후,LG,1,0,0,0,-,0,0
최동환,LG,4,0,0,0,-,0,0
최민창,LG,4,0,0,0,-,0,0
최성훈,LG,2,0,0,0,-,0,0
한석현,LG,6,1,0,1,0.0,0,0
함덕주,LG,1,0,0,0,-,0,0
허도환,LG,64,0,0,0,-,0,0
허준혁,LG,1,0,0,0,-,0,0
박민우,NC,104,25,21,4,84.0,9,1
김기환,NC,73,16,14,2,87.5,1,3
마티니,NC,139,16,12,4,75.0,5,0
김주원,NC,96,13,10,3,76.9,2,1
박준영,NC,75,9,7,2,77.8,2,0
손아섭,NC,138,10,7,3,70.0,6,0
최승민,NC,44,9,6,3,66.7,1,0
이명기,NC,94,9,5,4,55.6,5,0
박건우,NC,111,6,3,3,50.0,4,0
서호철,NC,89,4,3,1,75.0,1,0
양의지,NC,130,4,3,1,75.0,7,0
권희동,NC,82,3,2,1,66.7,1,0
노진혁,NC,115,2,2,0,100,5,0
