선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,130,38,30,8,78.9,5,1
김도영,KIA,84,29,25,4,86.2,2,2
소크라테스,KIA,142,21,15,6,71.4,3,1
최원준,KIA,67,18,13,5,72.2,1,1
이창진,KIA,104,11,9,2,81.8,1,0
이우성,KIA,126,9,8,1,88.9,7,0
김규성,KIA,99,8,6,2,75.0,0,1
최정용,KIA,56,4,4,0,100,1,0
김선빈,KIA,119,4,3,1,75.0,4,0
고종욱,KIA,114,4,2,2,50.0,0,0
김태군,KIA,114,3,2,1,66.7,5,0
김호령,KIA,76,1,1,0,100,0,0
김기훈,KIA,1,0,0,0,-,0,0
김석환,KIA,12,0,0,0,-,0,0
김선우,KIA,5,0,0,0,-,0,0
나성범,KIA,58,0,0,0,-,5,0
박정우,KIA,21,0,0,0,-,0,0
박준표,KIA,1,0,0,0,-,0,0
변우혁,KIA,83,0,0,0,-,0,0
신범수,KIA,36,0,0,0,-,1,0
오선우,KIA,33,0,0,0,-,0,0
윤도현,KIA,1,0,0,0,-,0,0
윤중현,KIA,1,0,0,0,-,0,0
정해영,KIA,2,0,0,0,-,0,0
주효상,KIA,19,0,0,0,-,0,0
최형우,KIA,121,0,0,0,-,4,0
한승택,KIA,49,0,0,0,-,0,0
한준수,KIA,48,0,0,0,-,0,0
홍종표,KIA,40,0,0,0,-,0,0
황대인,KIA,60,0,0,0,-,1,0
황동하,KIA,1,0,0,0,-,0,0
알포드,KT,133,21,17,4,81.0,12,1
배정대,KT,97,16,13,3,81.3,3,0
김민혁,KT,113,15,11,4,73.3,5,0
안치영,KT,76,8,7,1,87.5,0,0
김상수,KT,129,11,5,6,45.5,4,2
이호연,KT,85,6,4,2,66.7,3,0
조용호,KT,63,4,4,0,100,3,0
강백호,KT,71,3,3,0,100,4,0
문상철,KT,112,4,3,1,75.0,3,0
송민섭,KT,69,4,3,1,75.0,1,0
오윤석,KT,82,4,3,1,75.0,0,1
장준원,KT,69,3,3,0,100,0,0
황재균,KT,109,6,3,3,50.0,2,1
박병호,KT,132,2,2,0,100,4,0
이상호,KT,63,2,2,0,100,1,0
홍현빈,KT,44,2,2,0,100,0,0
김준태,KT,69,1,1,0,100,1,0
장성우,KT,131,2,1,1,50.0,2,0
강민성,KT,12,0,0,0,-,0,0
강현우,KT,53,1,0,1,0.0,0,0
김민,KT,1,0,0,0,-,0,0
김병준,KT,3,0,0,0,-,0,0
김병희,KT,5,0,0,0,-,0,0
김영현,KT,1,0,0,0,-,0,0
김재윤,KT,5,0,0,0,-,0,0
류현인,KT,17,0,0,0,-,0,0
문상인,KT,1,0,0,0,-,0,0
문상준,KT,2,0,0,0,-,0,0
박경수,KT,107,0,0,0,-,4,0
박민석,KT,4,0,0,0,-,0,0
박영현,KT,3,0,0,0,-,0,0
손민석,KT,9,0,0,0,-,0,0
신본기,KT,40,1,0,1,0.0,1,0
이상동,KT,1,0,0,0,-,0,0
이선우,KT,1,0,0,0,-,0,0
이시원,KT,29,1,0,1,0.0,1,0
이채호,KT,1,0,0,0,-,0,0
정준영,KT,34,0,0,0,-,0,0
하준호,KT,1,0,0,0,-,0,0
신민재,LG,122,54,37,17,68.5,6,1
박해민,LG,144,38,26,12,68.4,11,2
문성주,LG,136,38,24,14,63.2,6,2
홍창기,LG,141,46,23,23,50.0,10,3
오지환,LG,126,23,16,7,69.6,7,2
