선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
안치홍,KIA,0.315,105,408,362,45,114,18,1,5,149,49,0,5,40,1,1,37,9,0.412,0.380,0.792,32,0.234,0.2
터커,KIA,0.311,95,399,357,50,111,33,0,9,171,50,0,1,38,0,3,44,12,0.479,0.381,0.860,29,0.293,0.0
황윤호,KIA,0.301,57,130,123,9,37,5,2,1,49,9,1,1,5,0,0,12,2,0.398,0.326,0.724,7,0.182,0.333
최형우,KIA,0.300,136,555,456,65,137,31,1,17,221,86,0,7,85,6,7,77,13,0.485,0.413,0.898,38,0.263,0.0
한준수,KIA,0.300,7,20,20,2,6,2,0,0,8,2,0,0,0,0,0,2,2,0.400,0.300,0.700,2,0.4,0.0
김주찬,KIA,0.300,100,363,337,35,101,16,0,3,126,32,1,3,17,3,5,44,6,0.374,0.340,0.714,30,0.25,0.143
김선빈,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4,43,0,1,26,7,0.371,0.360,0.731,32,0.297,0.5
유민상,KIA,0.291,61,202,175,23,51,15,0,5,81,26,0,0,24,0,3,35,6,0.463,0.386,0.849,13,0.341,0.375
이정훈,KIA,0.286,7,15,14,0,4,1,0,0,5,3,0,1,0,0,0,1,2,0.357,0.267,0.624,1,0.286,0.0
최정용,KIA,0.286,8,21,21,4,6,0,0,0,6,1,0,0,0,0,0,10,0,0.286,0.286,0.572,2,0.25,0.5
이창진,KIA,0.270,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,27,0.267,0.333
박찬호,KIA,0.260,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.300,0.617,36,0.308,0.0
유재신,KIA,0.255,71,59,51,17,13,2,1,0,17,6,1,1,6,0,0,12,1,0.333,0.328,0.661,0,0.3,0.2
류승현,KIA,0.253,57,163,150,14,38,8,1,0,48,14,0,0,9,0,4,29,3,0.320,0.313,0.633,8,0.222,0.417
백용환,KIA,0.234,28,51,47,3,11,2,0,2,19,6,0,0,3,0,1,14,0,0.404,0.294,0.698,1,0.231,0.222
이범호,KIA,0.231,19,31,26,1,6,1,0,1,10,5,0,2,3,0,0,3,1,0.385,0.290,0.675,0,0.25,0.167
고장혁,KIA,0.226,22,32,31,2,7,0,1,0,9,3,0,0,0,0,1,8,1,0.290,0.250,0.540,2,0.2,0.0
한승택,KIA,0.223,105,288,251,22,56,9,1,3,76,27,7,2,27,1,1,82,8,0.303,0.299,0.602,11,0.294,0.333
이우성,KIA,0.219,60,168,151,19,33,4,0,6,55,22,1,2,12,0,2,40,3,0.364,0.281,0.645,7,0.239,0.313
신범수,KIA,0.211,39,65,57,4,12,5,0,2,23,7,0,0,7,0,1,14,1,0.404,0.308,0.712,1,0.2,0.231
홍재호,KIA,0.211,10,20,19,2,4,0,0,0,4,0,0,0,1,0,0,5,1,0.211,0.250,0.461,1,0.5,0.5
황대인,KIA,0.200,12,28,25,0,5,2,0,0,7,0,0,0,1,0,2,8,0,0.280,0.286,0.566,2,0.0,0.0
최원준,KIA,0.198,90,255,232,33,46,11,3,1,66,18,2,1,16,0,4,51,4,0.284,0.261,0.545,7,0.232,0.083
이인행,KIA,0.188,9,20,16,1,3,1,0,0,4,2,1,0,2,0,1,6,1,0.250,0.316,0.566,0,0.2,0.0
나지완,KIA,0.186,56,153,129,12,24,5,0,6,47,17,0,2,19,1,3,37,3,0.364,0.301,0.665,4,0.139,0.059
박준태,KIA,0.171,38,47,41,13,7,3,0,0,10,4,0,2,4,0,0,15,1,0.244,0.234,0.478,0,0.091,0.0
김민식,KIA,0.167,53,116,96,6,16,2,0,0,18,14,0,2,15,0,3,29,1,0.188,0.293,0.481,1,0.167,0.143
문선재,KIA,0.163,29,61,49,7,8,0,0,3,17,6,0,2,9,0,1,18,0,0.347,0.295,0.642,1,0.143,0.0
